Ant Financial Services Group, is, an affiliate company of the Chinese Alibaba Group
Ant Financial Services Group, known, as Alipay
Ant Financial, is, the highest valued Fintech company
Ant Financial, had, around 450 million annual active users
Ant Financial, bought, EyeVerify Inc
Ant Financial, had, a valuation
Ant Financial Services Group, announced, a deal
Ant Financial, formed, a joint venture
Sir Li Ka-shing's CK Hutchison Holdings, launched, a blockchain-powered cash remittance service
a blockchain-powered cash remittance service, allow, real-time transfers
Ant Financial, unveiled, Ant Financial facial recognition payment technology
Ant financial, operates, Huabei
Ant Financial, launched, Ant Fortune